Time (EET),Open,High,Low,Close,Volume
2014.10.27 23:00:00,1.61187,1.6182,1.60878,1.61291,176065.72
2014.10.28 23:00:00,1.61289,1.61613,1.60025,1.60103,154151.79
2014.10.29 23:00:00,1.60106,1.60382,1.59513,1.60001,212157.48
2014.10.30 23:00:00,1.6,1.60109,1.59415,1.59904,234887.53
2014.11.03 00:00:00,1.59619,1.60217,1.59262,1.59702,197781.86
2014.11.04 00:00:00,1.5971,1.60157,1.59649,1.60014,181214.77
2014.11.05 00:00:00,1.60015,1.60212,1.58683,1.59744,227983.47
2014.11.06 00:00:00,1.59744,1.60014,1.58238,1.58306,277601.91
2014.11.07 00:00:00,1.58306,1.5886,1.579,1.5866,218016.04
2014.11.10 00:00:00,1.58829,1.5917,1.58407,1.58412,176958.19
2014.11.11 00:00:00,1.58412,1.59441,1.58348,1.59165,171221.65
2014.11.12 00:00:00,1.59182,1.59402,1.57754,1.5777,232224.66
2014.11.13 00:00:00,1.57778,1.57808,1.56935,1.57098,164949.54
2014.11.14 00:00:00,1.57098,1.57098,1.55923,1.56649,214266.86
2014.11.17 00:00:00,1.568,1.57352,1.56194,1.56399,180468.32
2014.11.18 00:00:00,1.56398,1.56784,1.56291,1.56316,182566.2
2014.11.19 00:00:00,1.56308,1.572,1.55897,1.56805,200590.05
2014.11.20 00:00:00,1.5681,1.57368,1.56316,1.56906,217009.54
2014.11.21 00:00:00,1.56906,1.57132,1.56258,1.56457,221815.49
2014.11.24 00:00:00,1.56353,1.57145,1.56281,1.57046,177628.6
2014.11.25 00:00:00,1.57057,1.57355,1.56482,1.57065,200567.8
2014.11.26 00:00:00,1.57064,1.58056,1.56788,1.57902,189309.75
2014.11.27 00:00:00,1.57908,1.58252,1.57164,1.57344,158915.53
2014.11.28 00:00:00,1.57345,1.57389,1.56139,1.56399,177019.67
2014.12.01 00:00:00,1.56482,1.57636,1.55848,1.57284,237786.89
2014.12.02 00:00:00,1.57282,1.57423,1.56315,1.56372,216387.72
2014.12.03 00:00:00,1.56372,1.57192,1.56191,1.56843,237641.9
2014.12.04 00:00:00,1.56849,1.57254,1.56428,1.56719,286831.51
2014.12.05 00:00:00,1.56718,1.56949,1.55683,1.55768,257313.99
2014.12.08 00:00:00,1.55709,1.56791,1.55412,1.56508,212723.12
2014.12.09 00:00:00,1.56497,1.57165,1.56256,1.56658,304193.77
2014.12.10 00:00:00,1.56664,1.57186,1.5647,1.57143,233335.64
2014.12.11 00:00:00,1.57145,1.57565,1.56519,1.57301,300931.44
2014.12.12 00:00:00,1.57311,1.57462,1.56945,1.57145,266821.79
2014.12.15 00:00:00,1.57221,1.57468,1.5601,1.5637,237032.79
2014.12.16 00:00:00,1.5637,1.57853,1.56105,1.57484,287246.25
2014.12.17 00:00:00,1.57484,1.57525,1.55417,1.55732,275209.74
2014.12.18 00:00:00,1.55737,1.56773,1.55487,1.5668,271283.05
2014.12.19 00:00:00,1.56681,1.56821,1.56051,1.5617,222640.18
2014.12.22 00:00:00,1.56238,1.5665,1.5573,1.55882,162380.12
2014.12.23 00:00:00,1.55882,1.5608,1.54858,1.55187,154856.94
2014.12.24 00:00:00,1.55188,1.55635,1.55036,1.55534,106082.15
2014.12.25 00:00:00,1.55533,1.55678,1.55296,1.55544,3978.28
2014.12.26 00:00:00,1.55517,1.55683,1.5537,1.55512,100577.81
2014.12.29 00:00:00,1.55586,1.55855,1.55071,1.55153,139822.52
2014.12.30 00:00:00,1.55154,1.55735,1.55007,1.55605,147345.85
2014.12.31 00:00:00,1.55605,1.56203,1.55491,1.5574,145598.87
